task_key,min_memory_mb,max_memory_mb
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",275.83984375,275.83984375
list-7bfeaa01-c665-42d7-87fc-3d402e57bb94,279.77734375,279.77734375
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",311.07421875,969.23046875
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",300.98046875,950.375
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",320.54296875,950.76171875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",279.77734375,471.76171875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 2)",311.07421875,2414.9921875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 4)",285.0234375,2443.2109375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 5)",275.83984375,2512.19140625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 6)",300.98046875,2277.3515625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 1)",221.765625,2743.2421875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 3)",320.54296875,2538.1015625
"('dataframe-groupby-first-agg-reset_index-aab8d87f6c9ec19c99a8464b60818e2c', 0)",320.8828125,320.8828125
"('reset_index-aab8d87f6c9ec19c99a8464b60818e2c', 0)",0,0
"('getitem-map-c8119b109b0943b53a8a01b14e61645b', 0)",0,0
"('map-c8119b109b0943b53a8a01b14e61645b', 0)",0,0
"('get_dummies-0bf37ea1b91af757dc9a754e74985701', 0)",320.8828125,320.8828125
"('dataframe-count-chunk-dataframe-count-agg-de3b7913004dd2b490ee9d011dfa508d', 0)",320.8828125,320.8828125
"('dataframe-sum-chunk-dataframe-sum-agg-898631712640ffe00437b621df661b85', 0)",0,0
"('dataframe-count-agg-de3b7913004dd2b490ee9d011dfa508d', 0)",0,0
"('dataframe-sum-agg-898631712640ffe00437b621df661b85', 0)",0,0
"('values-e7d6428f659ccafc3d552de24a640887', 0)",0,0
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",294.39453125,294.65234375
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",353.2890625,353.2890625
list-7bfeaa01-c665-42d7-87fc-3d402e57bb94,320.8828125,320.8828125
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",315.77734375,315.77734375
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",201.3046875,352.14453125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",320.8828125,520.8515625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 6)",304.95703125,2121.046875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 2)",294.65234375,2220.1171875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 3)",281.1484375,2089.87109375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 5)",329.16796875,2097.3984375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 1)",353.2890625,2106.96875
