task_key,min_memory_mb,max_memory_mb
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",347.4375,347.4375
list-80821142-6bd6-4f46-8c5d-18e5ce2d48b1,312.63671875,312.63671875
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",230.62109375,356.04296875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",312.63671875,491.09375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 4)",267.98828125,2383.9609375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 1)",347.4375,2821.01953125
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 6)",307.45703125,2202.80859375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 5)",305.44921875,2120.40234375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 3)",304.03515625,2822.0
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 2)",249.109375,2184.734375
"('dataframe-groupby-first-agg-c178bea3285714c2f28c0cce8ddd3ca9', 0)",2022.234375,2022.234375
"('reset_index-aab8d87f6c9ec19c99a8464b60818e2c', 0)",323.87109375,323.87109375
"('getitem-bbd890544e6a01b508e429be4a4f95dd', 0)",0,0
"('map-c8119b109b0943b53a8a01b14e61645b', 0)",0,0
"('len-0aad90a5ef9caa951e0310e28a377411', 0)",323.87109375,323.87109375
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",230.62109375,230.62109375
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",350.671875,2072.50390625
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",270.21875,270.21875
list-80821142-6bd6-4f46-8c5d-18e5ce2d48b1,330.703125,442.99609375
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",323.87109375,323.87109375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",353.19140625,529.27734375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 1)",358.16015625,2409.0625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 2)",270.21875,2145.171875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 6)",230.62109375,1968.19921875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 5)",350.671875,3157.69921875
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 3)",323.3359375,3053.80859375
